,BTCUSDT.csv,ETHUSDT.csv,LTCUSDT.csv,XRPUSDT.csv,cash_balance,crypto_balance,revenue,total_balance,transaction_cost
2019-01-06 16:50:00,0.0,10.0,0.0,0.0,98657.67917500004,1532.1249999999998,-0.40000000000020464,100189.80417500004,0.0
2019-01-06 16:51:00,0.0,10.0,0.0,0.0,98657.67917500004,1532.4,0.2750000000003183,100190.07917500004,0.0
2019-01-06 16:52:00,0.0,10.0,0.0,0.0,98657.67917500003,1532.3500000000001,-0.049999999999954525,100190.02917500003,0.0
2019-01-06 16:53:00,0.0,10.0,0.0,0.0,98657.67917500004,1531.9,-0.45000000000015916,100189.57917500004,0.0
2019-01-06 16:54:00,0.0,10.0,0.0,0.0,98657.67917500004,1532.8750000000002,0.9750000000002501,100190.55417500004,0.0
2019-01-06 16:55:00,0.0,10.0,0.0,0.0,98657.67917500004,1534.05,1.174999999999784,100191.72917500004,0.0
2019-01-06 16:56:00,0.0,10.0,0.0,0.0,98657.67917500004,1535.2250000000001,1.1750000000000682,100192.90417500005,0.0
2019-01-06 16:57:00,0.0,10.0,0.0,0.0,98657.67917500004,1536.1750000000002,0.9499999999999886,100193.85417500004,0.0
2019-01-06 16:58:00,0.0,10.0,0.0,0.0,98657.67917500004,1535.1,-1.0750000000001592,100192.77917500005,0.0
2019-01-06 16:59:00,0.0,10.0,0.0,0.0,98657.67917500004,1534.2999999999997,-0.8000000000001251,100191.97917500004,0.0
2019-01-06 17:00:00,0.0,10.0,0.0,0.0,98657.67917500004,1535.5,1.2000000000003297,100193.17917500004,0.0
2019-01-06 17:01:00,0.0,10.0,0.0,0.0,98657.67917500004,1535.95,0.44999999999987494,100193.62917500004,0.0
2019-01-06 17:02:00,0.0,10.0,0.0,0.0,98657.67917500004,1535.0,-0.9499999999999886,100192.67917500004,0.0
2019-01-06 17:03:00,0.0,10.0,0.0,0.0,98657.67917500004,1532.8999999999999,-2.1000000000000796,100190.57917500004,0.0
2019-01-06 17:04:00,0.0,10.0,0.0,0.0,98657.67917500004,1532.275,-0.6249999999997158,100189.95417500004,0.0
2019-01-06 17:05:00,0.0,10.0,0.0,0.0,98657.67917500003,1532.475,0.1999999999998181,100190.15417500003,0.0
2019-01-06 17:06:00,0.0,10.0,0.0,0.0,98657.67917500003,1530.6,-1.875,100188.27917500003,0.0
2019-01-06 17:07:00,0.0,10.0,0.0,0.0,98657.67917500003,1529.8749999999998,-0.7250000000001933,100187.55417500003,0.0
2019-01-06 17:08:00,0.0,10.0,0.0,0.0,98657.67917500003,1528.0,-1.8749999999997158,100185.67917500003,0.0
2019-01-06 17:09:00,0.0,10.0,0.0,0.0,98657.67917500003,1527.9750000000001,-0.024999999999977263,100185.65417500003,0.0
2019-01-06 17:10:00,0.0,10.0,0.0,0.0,98657.67917500004,1528.15,0.17499999999984084,100185.82917500004,0.0
2019-01-06 17:11:00,0.0,10.0,0.0,0.0,98657.67917500004,1528.1999999999998,0.049999999999954525,100185.87917500004,0.0
2019-01-06 17:12:00,0.0,10.0,0.0,0.0,98657.67917500003,1528.7249999999997,0.5249999999998067,100186.40417500003,0.0
2019-01-06 17:13:00,0.0,10.0,0.0,0.0,98657.67917500003,1527.725,-0.9999999999999432,100185.40417500003,0.0
2019-01-06 17:14:00,0.0,10.0,0.0,0.0,98657.67917500004,1525.3999999999999,-2.324999999999875,100183.07917500004,0.0
2019-01-06 17:15:00,0.0,10.0,0.0,0.0,98657.67917500004,1525.15,-0.24999999999977263,100182.82917500004,0.0
2019-01-06 17:16:00,0.0,10.0,0.0,0.0,98657.67917500004,1523.125,-2.025000000000148,100180.80417500004,0.0
2019-01-06 17:17:00,0.0,10.0,0.0,0.0,98657.67917500004,1522.25,-0.8750000000000568,100179.92917500004,0.0
2019-01-06 17:18:00,0.0,10.0,0.0,0.0,98657.67917500004,1521.9499999999998,-0.30000000000001137,100179.62917500004,0.0
2019-01-06 17:19:00,0.0,10.0,0.0,0.0,98657.67917500004,1521.0500000000002,-0.8999999999997499,100178.72917500004,0.0
2019-01-06 17:20:00,0.0,10.0,0.0,0.0,98657.67917500006,1518.5249999999999,-2.5250000000002615,100176.20417500005,0.0
2019-01-06 17:21:00,0.0,10.0,0.0,0.0,98657.67917500006,1519.5,0.9749999999999659,100177.17917500006,0.0
2019-01-06 17:22:00,0.0,10.0,0.0,0.0,98657.67917500006,1520.7749999999999,1.2749999999999773,100178.45417500005,0.0
2019-01-06 17:23:00,0.0,10.0,0.0,0.0,98657.67917500006,1520.325,-0.44999999999987494,100178.00417500005,0.0
2019-01-06 17:24:00,0.0,10.0,0.0,0.0,98657.67917500006,1520.625,0.30000000000001137,100178.30417500006,0.0
2019-01-06 17:25:00,0.0,10.0,0.0,0.0,98657.67917500006,1522.0499999999997,1.4249999999998408,100179.72917500006,0.0
