,V1,V2,ID,Gender,Population,Geographic.origin,Geographic.area,region,distance,latitude,longtitude
HGDP00559,-59.1754706863611,96.5689696083011,HGDP00559,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00571,-59.1477999510035,97.8707996175922,HGDP00571,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00583,-60.0048976173173,98.2133358363962,HGDP00583,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00597,-59.1894215144354,95.2662892497877,HGDP00597,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00677,-68.9364849904063,81.6941622495715,HGDP00677,M,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00689,-70.1833910660822,82.6461440205399,HGDP00689,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00465,-200.918053322488,-201.210744798227,HGDP00465,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP01085,-200.245261496284,-200.872600123599,HGDP01085,F,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00456,-198.705114032595,-202.432379091334,HGDP00456,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
HGDP01081,-198.292150512334,-200.677065786934,HGDP01081,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
HGDP00914,-180.34992011706,-170.695379702139,HGDP00914,F,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP01285,-182.848599023014,-168.893088315925,HGDP01285,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP00930,-182.688252795964,-174.772889399226,HGDP00930,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP00940,-186.071517234587,-178.07445237556,HGDP00940,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP01413,-172.312735273184,-156.272065250814,HGDP01413,M,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
HGDP01032,-193.044811450781,-190.832813448267,HGDP01032,M,San ,Namidia,Central Africa,Africa,3872.417228,-21,20
HGDP01254,-89.4951481634892,43.0615172794557,HGDP01254,F,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP01266,-89.2599580507063,40.787235577847,HGDP01266,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP01278,-89.7636508320906,42.2459071047874,HGDP01278,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP00614,-68.9774924984327,74.6000410301175,HGDP00614,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00626,-67.7229967560551,76.7574700580878,HGDP00626,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
